0.000000	0.054731	0.109461	0.164192	0.218923	0.273653	0.328384	0.383115	0.437845	0.492576	0.547307	0.602037	0.656768	0.711499	0.766229	0.820960	0.875691	0.930421	0.985152	1.039883	1.094613	1.149344	1.204075	1.258805	1.313536	1.368266	1.422997	1.477728	1.532459	1.587189	1.641920	1.696650	1.751381	1.806112	1.860842	1.915573
0.027123	0.060410	0.089895	0.141699	0.194314	0.248295	0.303715	0.359134	0.414467	0.469102	0.523737	0.578372	0.633007	0.687642	0.742277	0.796912	0.851565	0.906233	0.960900	1.015568	1.070236	1.124904	1.179572	1.234239	1.288907	1.343575	1.398243	1.452881	1.507613	1.562385	1.617158	1.671930	1.726703	1.781476	1.836249	1.891021
0.054246	0.083780	0.120821	0.147824	0.179789	0.231338	0.283397	0.335266	0.388629	0.442361	0.496591	0.552010	0.607429	0.662848	0.718267	0.773797	0.828934	0.883569	0.938204	0.992839	1.047474	1.102109	1.156744	1.211379	1.266014	1.320649	1.375284	1.429919	1.484554	1.539189	1.593824	1.648462	1.703129	1.757797	1.812465	1.867133
0.081369	0.111358	0.141238	0.181231	0.208432	0.234835	0.269684	0.320978	0.373037	0.425096	0.476877	0.529210	0.582943	0.636676	0.690408	0.744886	0.800305	0.855725	0.911144	0.966563	1.021982	1.077401	1.132908	1.188484	1.243401	1.298036	1.352671	1.407306	1.461941	1.516576	1.571211	1.625846	1.680481	1.735116	1.789751	1.844386
0.108492	0.134513	0.167559	0.201625	0.241642	0.269049	0.295648	0.320548	0.359579	0.410618	0.462677	0.514735	0.566794	0.618579	0.670533	0.723525	0.777257	0.830990	0.884723	0.938455	0.993182	1.048601	1.104020	1.159439	1.214858	1.270277	1.325696	1.381115	1.436535	1.492019	1.547595	1.603170	1.657868	1.712503	1.767138	1.821773
0.135615	0.159598	0.196478	0.223432	0.263841	0.302052	0.329675	0.356257	0.382864	0.406657	0.449473	0.500257	0.552316	0.604375	0.656434	0.708493	0.760468	0.812061	0.864324	0.917839	0.971572	1.025304	1.079037	1.132770	1.186502	1.241477	1.296896	1.352315	1.407735	1.463154	1.518573	1.573992	1.629411	1.684830	1.740249	1.795668
0.162739	0.185688	0.222716	0.251339	0.282477	0.326035	0.362463	0.390202	0.416865	0.443472	0.469669	0.492777	0.539368	0.589897	0.641956	0.694015	0.746074	0.798133	0.850191	0.902250	0.953754	1.005799	1.058421	1.112153	1.165886	1.219619	1.273351	1.327084	1.380817	1.434549	1.489773	1.545192	1.600611	1.656030	1.711449	1.766868
0.189862	0.211908	0.244956	0.280555	0.306641	0.342038	0.387374	0.422873	0.450706	0.477473	0.504081	0.530688	0.555181	0.581029	0.629262	0.679537	0.731596	0.783655	0.835713	0.887772	0.939831	0.991890	1.043949	1.095456	1.147328	1.199537	1.252735	1.306468	1.360200	1.413933	1.467666	1.521398	1.575131	1.628864	1.682718	1.738068
0.216985	0.238127	0.269026	0.308420	0.335119	0.364670	0.403250	0.448591	0.483284	0.511368	0.538099	0.564689	0.591296	0.617904	0.641097	0.670924	0.719157	0.769176	0.821235	0.873294	0.925353	0.977412	1.029471	1.081530	1.133589	1.185647	1.237158	1.288929	1.341066	1.393515	1.447049	1.500782	1.554515	1.608247	1.661980	1.715713
0.244108	0.265307	0.293562	0.334074	0.364622	0.390107	0.423715	0.465466	0.509835	0.543694	0.572201	0.598725	0.625297	0.651905	0.678512	0.704504	0.727193	0.760819	0.809052	0.858816	0.910875	0.962934	1.014993	1.067052	1.119111	1.171170	1.223228	1.275287	1.327346	1.379034	1.430631	1.482594	1.534803	1.587631	1.641364	1.695096
