0.585	0.565	0.692	0.767	0.795	0.826	0.789	0.726	0.738	0.706	0.688	0.665	0.634	0.604	0.580	0.555	0.529	0.504	0.479	0.449	0.413	0.375	0.335	0.309	0.269	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243
-1.000	0.644	0.748	0.928	0.873	0.853	0.848	0.774	0.766	0.731	0.706	0.678	0.649	0.626	0.601	0.579	0.554	0.530	0.502	0.466	0.436	0.395	0.351	0.318	0.280	0.255	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.764	0.889	0.987	0.984	0.961	0.893	0.818	0.769	0.749	0.719	0.692	0.670	0.646	0.617	0.593	0.569	0.544	0.518	0.477	0.450	0.413	0.377	0.347	0.310	0.285	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.744	0.896	0.996	0.953	0.963	0.926	0.823	0.784	0.753	0.723	0.703	0.673	0.648	0.619	0.593	0.566	0.535	0.507	0.494	0.462	0.423	0.396	0.359	0.324	0.288	0.265	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.750	0.903	1.021	0.990	0.977	0.917	0.847	0.792	0.761	0.732	0.711	0.678	0.650	0.621	0.595	0.563	0.542	0.518	0.494	0.465	0.425	0.398	0.357	0.335	0.286	0.256	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.811	0.889	1.021	1.020	0.977	0.977	0.855	0.791	0.743	0.715	0.701	0.666	0.640	0.614	0.590	0.557	0.540	0.515	0.487	0.464	0.433	0.406	0.360	0.330	0.297	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.804	0.862	0.914	0.880	0.893	0.864	0.813	0.769	0.736	0.707	0.689	0.656	0.630	0.602	0.573	0.551	0.529	0.509	0.481	0.453	0.432	0.412	0.357	0.330	0.286	0.268	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.708	0.845	0.833	0.854	0.964	0.914	0.761	0.732	0.716	0.682	0.664	0.626	0.599	0.568	0.552	0.519	0.513	0.496	0.461	0.428	0.416	0.385	0.356	0.319	0.270	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.677	0.744	0.806	0.828	0.792	0.770	0.729	0.710	0.692	0.662	0.646	0.607	0.583	0.539	0.535	0.520	0.507	0.482	0.450	0.429	0.398	0.370	0.313	0.297	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.244	0.243	0.244	0.246	0.244	0.246	0.245	0.246	0.244	0.243	0.243	0.243	0.244	0.245	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.700	0.716	0.746	0.744	0.736	0.724	0.708	0.684	0.667	0.631	0.609	0.568	0.557	0.518	0.509	0.508	0.485	0.460	0.428	0.407	0.379	0.345	0.296	0.261	0.243	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.253	0.253	0.243	0.256	0.245	0.250	0.254	0.247	0.246	0.243	0.243	0.243	0.246	0.250	0.245	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.680	0.685	0.716	0.726	0.715	0.708	0.688	0.680	0.657	0.616	0.596	0.560	0.524	0.512	0.500	0.486	0.477	0.456	0.426	0.403	0.349	0.326	0.268	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.254	0.258	0.244	0.251	0.251	0.250	0.245	0.250	0.243	0.247	0.245	0.248	0.247	0.250	0.246	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.653	0.662	0.694	0.696	0.681	0.678	0.661	0.648	0.626	0.590	0.581	0.540	0.507	0.495	0.488	0.466	0.466	0.448	0.412	0.373	0.333	0.305	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.251	0.253	0.254	0.243	0.245	0.247	0.252	0.246	0.243	0.245	0.243	0.247	0.249	0.253	0.249	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
-1.000	0.617	0.646	0.661	0.664	0.655	0.648	0.633	0.629	0.604	0.569	0.564	0.524	0.492	0.467	0.475	0.450	0.440	0.413	0.386	0.353	0.322	0.272	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	-1.000	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.246	0.243	0.250	0.244	0.252	0.243	0.249	0.250	0.251	0.243	0.243	0.243	0.243	0.244	0.250	0.243	0.243	0.243	0.243	0.243	0.243	0.243	0.243	-1.000
